latitude,longitude,brightness,acq_date,acq_time
-33.895,150.119,336,15/12/2019,2315
-30.508,150.91,343.5,22/12/2019,15
-31.69,132.892,323.8,2/01/2020,1340
-29.33,152.182,303.4,20/12/2019,1235
-33.805,150.193,302.3,25/12/2019,1250
-36.025,149.693,317,1/01/2020,1255
-35.232,150.142,338,20/12/2019,30
-32.589,150.618,342,28/12/2019,355
-30.946,124.11,340.9,18/11/2019,445
-37.33,148.531,326.3,30/12/2019,1310
-20.935,123.773,333,14/11/2019,230
-27.758,128.345,350.1,26/12/2019,550
-16.117,137.128,355.8,5/12/2019,110
-29.033,152.883,330.6,8/10/2019,1240
-28.566,122.766,307,22/10/2019,1430
-31.417,151.913,333.3,8/12/2019,5
-19.876,122.013,308.7,13/12/2019,1410
-15.592,124.828,328.6,25/11/2019,500
-29.222,152.718,394.6,5/12/2019,350
-36.03,147.801,314.5,1/01/2020,1255
-17.232,142.399,310.3,30/11/2019,1300
-30.381,150.865,301,3/12/2019,1505
-35.893,147.581,358.3,30/12/2019,1310
-31.456,152.307,320.3,8/11/2019,1510
-37.195,148.258,332.7,30/12/2019,1310
-28.126,152.459,360.3,7/11/2019,330
-35.247,150.371,326,26/12/2019,410
-30.599,151.039,303.1,14/12/2019,1310
-16.926,143.247,304,1/10/2019,1545
-30.1,150.058,325.5,10/01/2020,325
-36.454,149.989,323,4/01/2020,1505
-14.709,127.002,351.1,15/11/2019,130
-15.642,144.661,312.4,25/12/2019,1255
-25.267,149.105,349.5,19/12/2019,405
-37.353,148.342,324.8,18/12/2019,2345
-31.684,132.948,358.4,2/01/2020,415
-31.736,152.291,367.1,8/11/2019,410
-29.174,151.579,402.5,8/11/2019,410
-31.622,151.228,330.6,27/12/2019,315
-24.886,149.417,315.7,27/12/2019,1240
-37.643,149.21,315.5,4/01/2020,1505
-17.398,129.768,461,22/10/2019,510
-12.453,132.188,335.4,15/10/2019,505
-28.151,152.268,302.7,27/11/2019,1230
-31.843,121.506,324.5,1/01/2020,1435
-11.82,142.224,325.1,20/10/2019,55
-32.167,151.402,343.5,4/01/2020,405
-12.429,141.777,310.8,4/10/2019,1310
-31.954,121.581,340.5,8/01/2020,240
-15.944,136.173,335.4,17/12/2019,130
-27.239,152.196,311.9,18/11/2019,1235
-29.126,150.829,382.2,18/12/2019,320
-15.377,127.425,324.5,20/11/2019,1405
-16.23,142.292,309.2,21/12/2019,1320
-31.162,151.948,319.7,18/11/2019,1235
-37.09,146.991,339.4,1/01/2020,1255
-37.444,148.337,362.7,30/12/2019,1310
-17.635,143.687,312.3,23/12/2019,1310
-15.535,126.932,323,21/10/2019,1350
-37.644,148.561,326.4,1/01/2020,1255
-30.403,151.041,324.8,3/12/2019,405
-12.636,131.639,336.2,10/12/2019,125
-30.771,152.616,319.6,6/12/2019,1220
-30.682,118.839,347.2,26/11/2019,255
-13.108,143.201,332.4,26/12/2019,415
-14.972,142.662,373,10/12/2019,415
-34.274,150.373,325.9,30/12/2019,1445
-14.984,127.508,329,19/11/2019,110
-15.901,129.384,350.5,15/11/2019,135
-32.546,123.365,335.5,6/01/2020,1455
-35.686,149.908,344.2,31/12/2019,10
-29.238,152.88,352,23/11/2019,325
-30.65,152.241,337.8,15/11/2019,415
-31.054,151.951,327.7,15/11/2019,0
-17.46,126.043,364,28/12/2019,1635
-31.57,151.783,365.2,15/11/2019,415
-12.612,136.625,336.2,5/12/2019,105
-22.412,126.982,348.8,31/10/2019,215
-28.615,127.963,381.7,31/10/2019,500
